"drinkId","name","category","price","description","temperatures","isRecommended","isFeatured","isActive","supportsDecaf","sortOrder","imageFile","imageUrl"
"drink-29","グリーンタピオカミルクティー","tea","640","国産緑茶ベースのすっきりしたミルクティー。","ICE,HOT","false","false","true","false","290","assets/menu/drink-29.png",""
"drink-30","ルイボスタピオカティー","tea","590","ルイボス茶葉を丁寧に抽出した香りの良い一杯。","ICE,HOT","false","false","true","false","300","assets/menu/drink-30.png",""
"drink-31","アッサム紅茶タピオカティー","tea","590","力強い香りと黒糖タピオカの相性が良いティー。","ICE,HOT","false","false","true","false","310","assets/menu/drink-31.png",""
"drink-32","ジャスミンタピオカティー","tea","590","店内抽出のジャスミン茶をダイレクトに楽しめます。","ICE,HOT","false","false","true","false","320","assets/menu/drink-32.png",""
"drink-33","グリーンタピオカティー","tea","590","国産緑茶のすっきり感と爽快感が特徴。","ICE,HOT","false","false","true","false","330","assets/menu/drink-33.png",""
"drink-34","ピーチクリーミー杏仁","special","690","たっぷり杏仁とピーチの組み合わせ。","ICE","false","false","true","false","340","assets/menu/drink-34.png",""
"drink-35","きなこ豆乳くろごま","special","640","純豆乳、きなこ、蜂蜜、くろごまのやさしい甘み。","ICE","false","false","true","false","350","assets/menu/drink-35.png",""
"drink-36","ピーチ紅茶","special","640","香り豊かな紅茶茶葉を店内抽出した自慢の一品。","ICE","false","false","true","false","360","assets/menu/drink-36.png",""
"drink-37","蜂蜜柚子茶","special","590","蜂蜜柚子の甘みと香りを楽しめる一杯。","ICE","false","false","true","false","370","assets/menu/drink-37.png",""
"drink-38","蜂蜜柚子アッサム紅茶","special","640","渋みの強いアッサム紅茶と蜂蜜柚子の組み合わせ。","ICE","false","false","true","false","380","assets/menu/drink-38.png",""
"drink-39","蜂蜜柚子ジャスミン茶","special","640","ジャスミンの香りと蜂蜜柚子のコラボ。","ICE","false","false","true","false","390","assets/menu/drink-39.png",""
"drink-40","蜂蜜柚子緑茶","special","640","国産緑茶の香りと苦味を蜂蜜柚子に合わせました。","ICE","false","false","true","false","400","assets/menu/drink-40.png",""
"drink-41","タピオカカフェラテ","coffee","640","高品質な豆で淹れたエスプレッソを使用したカフェラテ。","ICE,HOT","false","false","true","true","410","assets/menu/drink-41.png",""
"drink-42","タピオカコーヒー","coffee","590","香りの良いコーヒーともちもちタピオカの組み合わせ。","ICE,HOT","false","false","true","true","420","assets/menu/drink-42.png",""
"drink-43","緑茶","tea-coffee","490","","ICE,HOT","false","false","true","false","430","",""
"drink-44","アッサム紅茶","tea-coffee","490","","ICE,HOT","false","false","true","false","440","",""
"drink-45","プアール茶","tea-coffee","490","","ICE,HOT","false","false","true","false","450","",""
"drink-46","ジャスミン茶","tea-coffee","490","","ICE,HOT","false","false","true","false","460","",""
"drink-47","ルイボス茶","tea-coffee","490","","ICE,HOT","false","false","true","false","470","",""
"drink-48","カフェアメリカーノ","tea-coffee","490","","ICE,HOT","false","false","true","true","480","",""
"drink-49","カフェラテ","tea-coffee","490","","ICE,HOT","false","false","true","true","490","",""
